date,category,name,change,percentage
2020-06-01,OS Version,"""Arch Linux"" 64 bit",0.0,0.001
2020-06-01,OS Version,"""Manjaro Linux"" 64 bit",0.0,0.001
2020-06-01,OS Version,Linux Mint 19.3 Tricia 64 bit,0.0,0.0007
2020-06-01,OS Version,MacOS 10.11.6 64 bit,-0.0002,0.0012
2020-06-01,OS Version,MacOS 10.12.6 64 bit,-0.0003,0.0016
2020-06-01,OS Version,MacOS 10.13.6 64 bit,-0.0011,0.0046
2020-06-01,OS Version,MacOS 10.14.5 64 bit,-0.0002,0.0006
2020-06-01,OS Version,MacOS 10.14.6 64 bit,-0.0016,0.0071
2020-06-01,OS Version,MacOS 10.15.2 64 bit,-0.0004,0.0006
2020-06-01,OS Version,MacOS 10.15.3 64 bit,-0.0019,0.0015
2020-06-01,OS Version,MacOS 10.15.4 64 bit,-0.0069,0.007
2020-06-01,OS Version,MacOS 10.15.5 64 bit,0.0081,0.0081
2020-06-01,OS Version,Ubuntu 18.04.4 LTS 64 bit,-0.0003,0.0012
2020-06-01,OS Version,Ubuntu 20.04 LTS 64 bit,0.0006,0.0016
2020-06-01,OS Version,Windows 10,-0.0003,0.0016
2020-06-01,OS Version,Windows 10 64 bit,0.0154,0.8712
2020-06-01,OS Version,Windows 7,-0.0003,0.0032
2020-06-01,OS Version,Windows 7 64 bit,-0.0066,0.0591
2020-06-01,OS Version,Windows 8 64 bit,-0.0001,0.0015
2020-06-01,OS Version,Windows 8.1 64 bit,-0.0019,0.0191
2020-06-01,System RAM,10 GB,0.0,0.0032
2020-06-01,System RAM,11 GB,-0.0002,0.0022
2020-06-01,System RAM,12 GB,0.0009,0.0314
2020-06-01,System RAM,13 GB,0.0,0.0002
2020-06-01,System RAM,14 GB,-0.0001,0.0033
2020-06-01,System RAM,15 GB,0.0006,0.0059
2020-06-01,System RAM,16 GB,0.0084,0.3953
2020-06-01,System RAM,2 GB,-0.0007,0.0049
2020-06-01,System RAM,3 GB,-0.0005,0.0182
2020-06-01,System RAM,4 GB,-0.0068,0.0667
2020-06-01,System RAM,5 GB,-0.0001,0.0034
2020-06-01,System RAM,6 GB,-0.0002,0.0241
2020-06-01,System RAM,7 GB,0.0002,0.0238
2020-06-01,System RAM,8 GB,-0.0055,0.3344
2020-06-01,System RAM,9 GB,0.0,0.0003
