Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Mês,Ano
OS Version,Windows,95.92%,+0.06%,Janeiro,2019
OS Version,Windows 10 64 bit,63.77%,-0.02%,Janeiro,2019
OS Version,Windows 7 64 bit,26.40%,+0.32%,Janeiro,2019
OS Version,Windows 8.1 64 bit,3.43%,-0.10%,Janeiro,2019
OS Version,Windows 7,1.52%,-0.09%,Janeiro,2019
OS Version,Windows 8 64 bit,0.31%,0.00%,Janeiro,2019
OS Version,Windows 10,0.27%,-0.01%,Janeiro,2019
OS Version,Windows XP 32 bit,0.09%,-0.02%,Janeiro,2019
OS Version,Windows 8.1,0.06%,0.00%,Janeiro,2019
OS Version,OSX,3.27%,-0.04%,Janeiro,2019
OS Version,MacOS 10.14.2 64 bit,1.15%,+0.83%,Janeiro,2019
OS Version,MacOS 10.13.6 64 bit,0.73%,-0.06%,Janeiro,2019
OS Version,MacOS 10.12.6 64 bit,0.29%,-0.03%,Janeiro,2019
OS Version,MacOS 10.14.0 64 bit,0.28%,-0.10%,Janeiro,2019
OS Version,MacOS 10.14.1 64 bit,0.27%,-0.64%,Janeiro,2019
OS Version,MacOS 10.11.6 64 bit,0.18%,-0.02%,Janeiro,2019
OS Version,MacOS 10.10.5 64 bit,0.08%,-0.02%,Janeiro,2019
OS Version,MacOS 10.13.4 64 bit,0.06%,-0.02%,Janeiro,2019
OS Version,Linux,0.82%,0.00%,Janeiro,2019
OS Version,Ubuntu 18.04.1 LTS 64 bit,0.24%,+0.01%,Janeiro,2019
OS Version,Linux 4.x 64 bit,0.09%,0.00%,Janeiro,2019
OS Version,Ubuntu 18.10 64 bit,0.06%,+0.01%,Janeiro,2019
OS Version,Ubuntu 16.04.5 LTS 64 bit,0.05%,-0.01%,Janeiro,2019
OS Version,Manjaro Linux 64 bit,0.05%,0.00%,Janeiro,2019
System RAM,Less than 2 GB,0.25%,-0.02%,Janeiro,2019
System RAM,2 GB,1.52%,-0.09%,Janeiro,2019
System RAM,3 GB,4.31%,-0.07%,Janeiro,2019
System RAM,4 GB,11.05%,+0.35%,Janeiro,2019
System RAM,5 GB,0.49%,-0.01%,Janeiro,2019
System RAM,6 GB,2.49%,+0.03%,Janeiro,2019
System RAM,7 GB,2.61%,+0.16%,Janeiro,2019
System RAM,8 GB,37.90%,-0.14%,Janeiro,2019
System RAM,9 GB,0.03%,0.00%,Janeiro,2019
System RAM,10 GB,0.28%,0.00%,Janeiro,2019
System RAM,11 GB,0.19%,-0.01%,Janeiro,2019
System RAM,12 GB,3.38%,-0.10%,Janeiro,2019
System RAM,13 GB,0.01%,0.00%,Janeiro,2019
System RAM,14 GB,0.11%,+0.01%,Janeiro,2019
System RAM,15 GB,0.34%,-0.01%,Janeiro,2019
System RAM,16 GB,31.27%,-0.02%,Janeiro,2019
System RAM,More than 16 GB,3.77%,-0.08%,Janeiro,2019
Physical CPUs,1 cpu,0.93%,-0.13%,Janeiro,2019
Physical CPUs,2 cpus,29.41%,-0.23%,Janeiro,2019
Physical CPUs,3 cpus,1.68%,-0.13%,Janeiro,2019
Physical CPUs,4 cpus,56.01%,-0.40%,Janeiro,2019
Physical CPUs,5 cpus,0.01%,0.00%,Janeiro,2019
Physical CPUs,6 cpus,10.02%,+0.85%,Janeiro,2019
Physical CPUs,7 cpus,0.00%,0.00%,Janeiro,2019
Physical CPUs,8 cpus,1.79%,+0.06%,Janeiro,2019
Physical CPUs,10 cpus,0.06%,-0.01%,Janeiro,2019
Physical CPUs,12 cpus,0.04%,+0.01%,Janeiro,2019
Physical CPUs,14 cpus,0.01%,+0.01%,Janeiro,2019
Physical CPUs,16 cpus,0.04%,0.00%,Janeiro,2019
Physical CPUs,18 cpus,0.01%,0.00%,Janeiro,2019
Physical CPUs,20 cpus,0.00%,0.00%,Janeiro,2019
Physical CPUs,22 cpus,0.00%,0.00%,Janeiro,2019
Physical CPUs,24 cpus,0.00%,0.00%,Janeiro,2019
Physical CPUs,28 cpus,0.00%,0.00%,Janeiro,2019
Physical CPUs,32 cpus,0.00%,0.00%,Janeiro,2019
Physical CPUs,36 cpus,0.00%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 1060,14.31%,-0.49%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 1050 Ti,8.99%,+0.04%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 1050,4.99%,+0.03%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 1070,4.19%,+0.17%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 960,3.37%,-0.07%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 970,2.93%,-0.03%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 750 Ti,2.85%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 1080,2.74%,-0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 960M,1.63%,-0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 1080 Ti,1.59%,-0.03%,Janeiro,2019
Video Card Description,Intel HD Graphics 4000,1.29%,-0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 1070 Ti,1.17%,+0.07%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 730,1.15%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce 940M,1.11%,+0.02%,Janeiro,2019
Video Card Description,AMD Radeon R7 Graphics,1.11%,+0.19%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 950,1.06%,-0.26%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 950M,0.95%,+0.01%,Janeiro,2019
Video Card Description,Intel Haswell,0.90%,-0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 750,0.85%,+0.06%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 760,0.80%,-0.03%,Janeiro,2019
Video Card Description,Intel HD Graphics 620,0.79%,+0.02%,Janeiro,2019
Video Card Description,AMD Radeon RX 580,0.79%,+0.15%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 720M,0.76%,-0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 650,0.75%,+0.14%,Janeiro,2019
Video Card Description,AMD Radeon R5 Graphics,0.75%,-0.03%,Janeiro,2019
Video Card Description,Intel HD Graphics 3000,0.75%,-0.03%,Janeiro,2019
Video Card Description,Intel HD Graphics 520,0.72%,-0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 660,0.65%,-0.05%,Janeiro,2019
Video Card Description,AMD Radeon RX 480,0.61%,-0.01%,Janeiro,2019
Video Card Description,Intel Ivy Bridge,0.59%,-0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 1030,0.58%,+0.11%,Janeiro,2019
Video Card Description,Intel HD Graphics 5500,0.57%,-0.02%,Janeiro,2019
Video Card Description,Intel HD Graphics 6000,0.56%,+0.03%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 980,0.56%,0.00%,Janeiro,2019
Video Card Description,Intel HD Graphics 4600,0.55%,0.00%,Janeiro,2019
Video Card Description,Intel HD Graphics 630,0.52%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 630,0.52%,+0.03%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 980 Ti,0.51%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce 920M,0.48%,-0.02%,Janeiro,2019
Video Card Description,AMD Radeon HD 7700 Series,0.48%,-0.01%,Janeiro,2019
Video Card Description,AMD Radeon HD 7900 Series,0.47%,-0.02%,Janeiro,2019
Video Card Description,Intel Valleyview Baytrail,0.45%,-0.02%,Janeiro,2019
Video Card Description,AMD Radeon HD 8470D,0.44%,-0.07%,Janeiro,2019
Video Card Description,NVIDIA GeForce 840M,0.44%,-0.01%,Janeiro,2019
Video Card Description,AMD Radeon HD 8800 Series,0.43%,-0.05%,Janeiro,2019
Video Card Description,NVIDIA GeForce MX150,0.42%,+0.05%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 770,0.42%,-0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 970M,0.40%,-0.02%,Janeiro,2019
Video Card Description,Intel UHD Graphics 620,0.38%,+0.04%,Janeiro,2019
Video Card Description,AMD Radeon RX 460,0.38%,-0.01%,Janeiro,2019
Video Card Description,AMD Radeon R7 300 Series,0.38%,-0.01%,Janeiro,2019
Video Card Description,Intel HD Graphics 530,0.38%,+0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 550 Ti,0.37%,+0.01%,Janeiro,2019
Video Card Description,AMD Radeon HD 7800 Series,0.36%,-0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 860M,0.34%,-0.02%,Janeiro,2019
Video Card Description,AMD Radeon HD 8500 Series,0.34%,+0.03%,Janeiro,2019
Video Card Description,Intel Sandy Bridge,0.34%,-0.01%,Janeiro,2019
Video Card Description,Intel Cherryview Cherrytrail,0.34%,-0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce RTX 2070,0.32%,+0.16%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 710,0.31%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce 210,0.31%,-0.02%,Janeiro,2019
Video Card Description,AMD Radeon R9 380 Series,0.31%,-0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce 920MX,0.30%,+0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce RTX 2080,0.30%,+0.09%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 740M,0.29%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTS 450,0.29%,+0.01%,Janeiro,2019
Video Card Description,Intel Iris Graphics 6100,0.29%,-0.01%,Janeiro,2019
Video Card Description,AMD Radeon HD 8370D,0.27%,+0.03%,Janeiro,2019
Video Card Description,AMD Radeon R5 M330,0.27%,0.00%,Janeiro,2019
Video Card Description,AMD Radeon RX 560,0.27%,+0.01%,Janeiro,2019
Video Card Description,Intel Iris Pro Graphics 5200,0.27%,-0.02%,Janeiro,2019
Video Card Description,AMD Radeon R9 200 Series,0.27%,-0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 850M,0.27%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 650 Ti,0.26%,+0.01%,Janeiro,2019
Video Card Description,Intel HD Graphics 2000,0.26%,-0.02%,Janeiro,2019
Video Card Description,AMD Radeon RX 470,0.26%,+0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce 940MX,0.26%,-0.01%,Janeiro,2019
Video Card Description,Intel UHD Graphics 630,0.25%,+0.04%,Janeiro,2019
Video Card Description,Intel HD Graphics 4400,0.24%,+0.01%,Janeiro,2019
Video Card Description,AMD Radeon R9 390 Series,0.24%,-0.01%,Janeiro,2019
Video Card Description,,0.24%,+0.01%,Janeiro,2019
Video Card Description,Intel Iris Plus Graphics 640,0.23%,+0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 610,0.22%,0.00%,Janeiro,2019
Video Card Description,AMD Radeon RX 570,0.22%,+0.22%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 740,0.22%,+0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 640,0.21%,0.00%,Janeiro,2019
Video Card Description,AMD Radeon R4 Graphics,0.21%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 965M,0.20%,0.00%,Janeiro,2019
Video Card Description,Intel HD Graphics 5000,0.20%,-0.02%,Janeiro,2019
Video Card Description,ATI Radeon HD 5450,0.19%,-0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce GTX 980M,0.19%,-0.01%,Janeiro,2019
Video Card Description,Intel Ironlake Arrandale,0.18%,-0.02%,Janeiro,2019
Video Card Description,AMD Radeon RX 550,0.18%,+0.02%,Janeiro,2019
Video Card Description,Intel HD Graphics,0.18%,+0.01%,Janeiro,2019
Video Card Description,NVIDIA GeForce 9600 GT,0.17%,+0.01%,Janeiro,2019
Video Card Description,ATI Radeon HD 5700 Series,0.17%,0.00%,Janeiro,2019
Video Card Description,Intel Iris Graphics 5100,0.17%,-0.01%,Janeiro,2019
Video Card Description,AMD Radeon HD 6670,0.17%,0.00%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 430,0.17%,-0.02%,Janeiro,2019
Video Card Description,NVIDIA GeForce 9500 GT,0.17%,+0.01%,Janeiro,2019
Video Card Description,ATI Mobility Radeon HD 5000 Series,0.17%,0.00%,Janeiro,2019
Video Card Description,AMD Radeon HD 6570,0.16%,0.00%,Janeiro,2019
Video Card Description,AMD Radeon R7 200 Series,0.16%,-0.02%,Janeiro,2019
Video Card Description,Intel HD Graphics 610,0.16%,+0.16%,Janeiro,2019
Video Card Description,NVIDIA GeForce GT 440,0.16%,+0.16%,Janeiro,2019
Video Card Description,AMD Radeon RX Vega,0.16%,+0.16%,Janeiro,2019
Video Card Description,Other,11.53%,-0.14%,Janeiro,2019
VRAM,256 MB,0.57%,-0.02%,Janeiro,2019
VRAM,512 MB,3.19%,+0.11%,Janeiro,2019
VRAM,768 MB,1.50%,-0.05%,Janeiro,2019
VRAM,1024 MB,15.94%,+0.50%,Janeiro,2019
VRAM,2047 MB,20.86%,-0.33%,Janeiro,2019
VRAM,3071 MB,6.99%,-0.92%,Janeiro,2019
VRAM,4095 MB,18.67%,-0.18%,Janeiro,2019
VRAM,5119 MB,1.77%,-0.14%,Janeiro,2019
VRAM,6143 MB,11.20%,+0.18%,Janeiro,2019
VRAM,8191 MB,12.20%,+0.67%,Janeiro,2019
