Categoria, Especificação, Porcentagens, Incrementos/Decrementos, Mês, Ano
OS Version, Windows, 96.02%, -0.13%, Janeiro, 2023
OS Version, Windows 10 64 bit, 63.46%, -1.96%, Janeiro, 2023
OS Version, Windows 11 64 bit, 30.33%, +1.91%, Janeiro, 2023
OS Version, Windows 7 64 bit, 1.60%, -0.06%, Janeiro, 2023
OS Version, Windows 8.1 64 bit, 0.39%, -0.02%, Janeiro, 2023
OS Version, Windows 7, 0.11%, 0.00%, Janeiro, 2023
OS Version, Windows 10, 0.05%, +0.05%, Janeiro, 2023
OS Version, OSX, 2.61%, +0.13%, Janeiro, 2023
OS Version, MacOS 13.1.0 64 bit, 0.52%, +0.39%, Janeiro, 2023
OS Version, MacOS 13.0.1 64 bit, 0.35%, -0.23%, Janeiro, 2023
OS Version, MacOS 12.6.0 64 bit, 0.21%, -0.07%, Janeiro, 2023
OS Version, MacOS 10.15.7 64 bit, 0.15%, 0.00%, Janeiro, 2023
OS Version, MacOS 12.4.0 64 bit, 0.11%, -0.01%, Janeiro, 2023
OS Version, MacOS 13.0.0 64 bit, 0.11%, -0.03%, Janeiro, 2023
OS Version, MacOS 12.6.2 64 bit, 0.10%, +0.10%, Janeiro, 2023
OS Version, MacOS 12.5.1 64 bit, 0.10%, -0.01%, Janeiro, 2023
OS Version, MacOS 12.5.0 64 bit, 0.09%, 0.00%, Janeiro, 2023
OS Version, MacOS 10.13.6 64 bit, 0.09%, 0.00%, Janeiro, 2023
OS Version, MacOS 10.14.6 64 bit, 0.07%, 0.00%, Janeiro, 2023
OS Version, MacOS 13.2.0 64 bit, 0.06%, +0.06%, Janeiro, 2023
OS Version, MacOS 12.2.1 64 bit, 0.05%, 0.00%, Janeiro, 2023
OS Version, MacOS 12.6.1 64 bit, 0.05%, -0.05%, Janeiro, 2023
OS Version, MacOS 12.3.1 64 bit, 0.05%, 0.00%, Janeiro, 2023
OS Version, Linux, 1.38%, 0.00%, Janeiro, 2023
OS Version, Ubuntu 22.04.1 LTS 64 bit, 0.16%, +0.01%, Janeiro, 2023
OS Version, "Arch Linux" 64 bit, 0.13%, 0.00%, Janeiro, 2023
OS Version, "Manjaro Linux" 64 bit, 0.09%, 0.00%, Janeiro, 2023
OS Version, Linux Mint 21.1 64 bit, 0.05%, +0.05%, Janeiro, 2023
System RAM, Less than 4 GB, 0.19%, 0.00%, Janeiro, 2023
System RAM, 4 GB, 5.84%, -0.05%, Janeiro, 2023
System RAM, 8 GB, 21.30%, -0.02%, Janeiro, 2023
System RAM, 12 GB, 3.56%, +0.04%, Janeiro, 2023
System RAM, 16 GB, 51.74%, -0.11%, Janeiro, 2023
System RAM, 24 GB, 1.13%, 0.00%, Janeiro, 2023
System RAM, 32 GB, 13.84%, -0.09%, Janeiro, 2023
System RAM, 64 GB, 1.38%, +0.04%, Janeiro, 2023
System RAM, More than 64 GB, 0.14%, +0.01%, Janeiro, 2023
System RAM, Other, 0.88%, +0.17%, Janeiro, 2023
Physical CPUs, 1 cpu, 0.15%, -0.01%, Janeiro, 2023
Physical CPUs, 2 cpus, 9.95%, +0.06%, Janeiro, 2023
Physical CPUs, 3 cpus, 0.39%, 0.00%, Janeiro, 2023
Physical CPUs, 4 cpus, 29.51%, -0.29%, Janeiro, 2023
Physical CPUs, 5 cpus, 0.02%, 0.00%, Janeiro, 2023
Physical CPUs, 6 cpus, 32.08%, -0.95%, Janeiro, 2023
Physical CPUs, 7 cpus, 0.02%, +0.01%, Janeiro, 2023
Physical CPUs, 8 cpus, 19.55%, +0.35%, Janeiro, 2023
Physical CPUs, 9 cpus, 0.01%, 0.00%, Janeiro, 2023
Physical CPUs, 10 cpus, 1.91%, +0.30%, Janeiro, 2023
Physical CPUs, 11 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 12 cpus, 3.42%, +0.04%, Janeiro, 2023
Physical CPUs, 13 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 14 cpus, 1.71%, +0.25%, Janeiro, 2023
Physical CPUs, 15 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 16 cpus, 1.06%, +0.17%, Janeiro, 2023
Physical CPUs, 18 cpus, 0.02%, 0.00%, Janeiro, 2023
Physical CPUs, 20 cpus, 0.01%, 0.00%, Janeiro, 2023
Physical CPUs, 22 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 24 cpus, 0.18%, +0.08%, Janeiro, 2023
Physical CPUs, 26 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 28 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 32 cpus, 0.01%, 0.00%, Janeiro, 2023
Physical CPUs, 36 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 44 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 48 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 56 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 64 cpus, 0.00%, 0.00%, Janeiro, 2023
Physical CPUs, 128 cpus, 0.00%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1650, 6.04%, +0.05%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1060, 5.10%, -0.36%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3060 Laptop GPU, 4.30%, +0.42%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2060, 4.22%, -0.28%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1050 Ti, 4.20%, -0.07%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3060, 3.54%, -0.20%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3060 Ti, 2.59%, +0.10%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3070, 2.57%, -0.05%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1660 SUPER, 2.41%, -0.09%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3050, 2.32%, +0.21%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1660 Ti, 2.29%, -0.02%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1050, 2.19%, -0.02%, Janeiro, 2023
Video Card Description, AMD Radeon Graphics, 1.96%, +0.07%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3080, 1.83%, -0.02%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1070, 1.71%, -0.06%, Janeiro, 2023
Video Card Description, Intel(R) Iris(R) Xe Graphics, 1.63%, +0.04%, Janeiro, 2023
Video Card Description, Intel(R) UHD Graphics, 1.49%, +0.02%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2070 SUPER, 1.48%, -0.06%, Janeiro, 2023
Video Card Description, , 1.39%, +0.10%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1660, 1.31%, -0.17%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3070 Ti, 1.20%, +0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1650 Ti, 1.16%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3050 Ti Laptop GPU, 1.15%, +0.07%, Janeiro, 2023
Video Card Description, AMD Radeon RX 580, 1.12%, +0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2060 SUPER, 1.11%, -0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2070, 1.05%, -0.11%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1080, 1.03%, -0.04%, Janeiro, 2023
Video Card Description, AMD Radeon Vega 8 Graphics, 0.92%, -0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3070 Laptop GPU, 0.88%, +0.06%, Janeiro, 2023
Video Card Description, AMD Radeon RX 570, 0.88%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3050 Laptop GPU, 0.85%, +0.06%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1650 SUPER, 0.79%, +0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3080 Ti, 0.74%, +0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GT 1030, 0.73%, -0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 970, 0.71%, -0.04%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 750 Ti, 0.69%, -0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 960, 0.68%, -0.02%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1080 Ti, 0.67%, 0.00%, Janeiro, 2023
Video Card Description, AMD Radeon RX 5700 XT, 0.63%, +0.01%, Janeiro, 2023
Video Card Description, Intel UHD Graphics 620, 0.61%, -0.02%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3090, 0.53%, +0.04%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2080 SUPER, 0.53%, -0.06%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 1070 Ti, 0.51%, -0.04%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2080, 0.50%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon Vega 3 Graphics, 0.48%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GT 730, 0.48%, +0.02%, Janeiro, 2023
Video Card Description, AMD Radeon RX 6700 XT, 0.45%, +0.05%, Janeiro, 2023
Video Card Description, AMD Radeon RX 550, 0.43%, -0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2080 Ti, 0.42%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon RX 6600, 0.41%, +0.03%, Janeiro, 2023
Video Card Description, Intel HD Graphics 4000, 0.41%, +0.01%, Janeiro, 2023
Video Card Description, Intel HD Graphics 620, 0.39%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon RX 6600 XT, 0.38%, +0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3070 Ti Laptop GPU, 0.36%, +0.06%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3050 Ti, 0.35%, +0.02%, Janeiro, 2023
Video Card Description, Intel HD Graphics 520, 0.35%, 0.00%, Janeiro, 2023
Video Card Description, Intel HD Graphics 4600, 0.35%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce 940M, 0.31%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 960M, 0.31%, 0.00%, Janeiro, 2023
Video Card Description, AMD AMD Custom GPU 0405, 0.30%, -0.03%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GT 710, 0.30%, 0.00%, Janeiro, 2023
Video Card Description, Intel Haswell, 0.30%, -0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce MX250, 0.30%, 0.00%, Janeiro, 2023
Video Card Description, Intel UHD Graphics 630, 0.30%, 0.00%, Janeiro, 2023
Video Card Description, Intel Ivy Bridge, 0.27%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon RX Vega 11 Graphics, 0.27%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon RX 480, 0.27%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce MX150, 0.26%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce MX450, 0.25%, 0.00%, Janeiro, 2023
Video Card Description, AMD Radeon RX 580 2048SP, 0.25%, +0.04%, Janeiro, 2023
Video Card Description, AMD Radeon RX 460, 0.24%, 0.00%, Janeiro, 2023
Video Card Description, Intel HD Graphics 3000, 0.24%, +0.01%, Janeiro, 2023
Video Card Description, Intel(R) UHD Graphics 630, 0.24%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 4090, 0.23%, +0.23%, Janeiro, 2023
Video Card Description, NVIDIA GeForce MX350, 0.23%, +0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 950, 0.22%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon RX 6900 XT, 0.22%, +0.02%, Janeiro, 2023
Video Card Description, AMD Radeon RX 5500 XT, 0.22%, 0.00%, Janeiro, 2023
Video Card Description, Intel HD Graphics 5500, 0.22%, -0.01%, Janeiro, 2023
Video Card Description, Intel Iris Plus Graphics, 0.22%, 0.00%, Janeiro, 2023
Video Card Description, AMD Radeon RX 560, 0.22%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon RX 5600 XT, 0.21%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 2070 with Max-Q Design, 0.21%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce RTX 3080 Laptop GPU, 0.21%, +0.01%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 750, 0.20%, -0.01%, Janeiro, 2023
Video Card Description, AMD Radeon RX 6800 XT, 0.20%, 0.00%, Janeiro, 2023
Video Card Description, AMD Radeon R7 Graphics, 0.20%, -0.02%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GT 720M, 0.19%, 0.00%, Janeiro, 2023
Video Card Description, NVIDIA GeForce GTX 950M, 0.19%, -0.01%, Janeiro, 2023
