Título, Porcentagens, Incrementos/Decrementos, Mês, Ano
Windows, 96.09%, -0.02%, Janeiro, 2020
Windows 10 64 bit, 79.23%, +7.58%, Janeiro, 2020
Windows 7 64 bit, 13.56%, -7.52%, Janeiro, 2020
Windows 8.1 64 bit, 2.22%, 0.00%, Janeiro, 2020
Windows 7, 0.68%, -0.06%, Janeiro, 2020
Windows 8 64 bit, 0.16%, -0.02%, Janeiro, 2020
Windows 10, 0.15%, -0.01%, Janeiro, 2020
OSX, 3.01%, -0.05%, Janeiro, 2020
MacOS 10.15.2 64 bit, 0.87%, +0.66%, Janeiro, 2020
MacOS 10.14.6 64 bit, 0.82%, -0.07%, Janeiro, 2020
MacOS 10.13.6 64 bit, 0.42%, -0.03%, Janeiro, 2020
MacOS 10.15.1 64 bit, 0.20%, -0.46%, Janeiro, 2020
MacOS 10.12.6 64 bit, 0.16%, -0.01%, Janeiro, 2020
MacOS 10.14.5 64 bit, 0.12%, -0.03%, Janeiro, 2020
MacOS 10.11.6 64 bit, 0.10%, -0.01%, Janeiro, 2020
MacOS 10.15.0 64 bit, 0.06%, -0.04%, Janeiro, 2020
Linux, 0.90%, +0.07%, Janeiro, 2020
Ubuntu 18.04.3 LTS 64 bit, 0.20%, +0.02%, Janeiro, 2020
"Arch Linux" 64 bit, 0.10%, +0.01%, Janeiro, 2020
Ubuntu 19.10 64 bit, 0.09%, +0.01%, Janeiro, 2020
"Manjaro Linux" 64 bit, 0.09%, +0.01%, Janeiro, 2020
Linux Mint 19.3 Tricia 64 bit, 0.05%, +0.05%, Janeiro, 2020
