Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Ano
OS Version, Windows,96.86,0.94,2019
OS Version, Windows 10 64 bit,61.09,-2.68,2019
OS Version, Windows 7 64 bit,33.04,6.64,2019
OS Version, Windows 8.1 64 bit,1.79,-1.64,2019
OS Version, Windows 7,0.6,-0.92,2019
OS Version, Windows 8 64 bit,0.14,-0.17,2019
OS Version, Windows 10,0.13,-0.14,2019
OS Version, OSX,2.47,-0.8,2019
OS Version, MacOS 10.14.6 64 bit,0.72,0.06,2019
OS Version, MacOS 10.15.1 64 bit,0.54,0.06,2019
OS Version, MacOS 10.13.6 64 bit,0.37,-0.36,2019
OS Version, MacOS 10.15.2 64 bit,0.17,0.0,2019
OS Version, MacOS 10.12.6 64 bit,0.14,-0.15,2019
OS Version, MacOS 10.14.5 64 bit,0.12,-0.06,2019
OS Version, MacOS 10.11.6 64 bit,0.09,-0.09,2019
OS Version, MacOS 10.15.0 64 bit,0.08,-0.21,2019
OS Version, Linux,0.67,-0.15,2019
OS Version, Ubuntu 18.04.3 LTS 64 bit,0.14,0.09,2019
OS Version," ""Arch Linux"" 64 bit",0.07,-0.02,2019
OS Version," ""Manjaro Linux"" 64 bit",0.07,0.02,2019
OS Version, Ubuntu 19.10 64 bit,0.07,0.01,2019
System RAM, Less than 2 GB,0.1,-0.15,2019
System RAM, 2 GB,0.63,-0.89,2019
System RAM, 3 GB,1.96,-2.35,2019
System RAM, 4 GB,6.0,-5.05,2019
System RAM, 5 GB,0.31,-0.18,2019
System RAM, 6 GB,1.82,-0.67,2019
System RAM, 7 GB,2.11,-0.5,2019
System RAM, 8 GB,30.69,-7.21,2019
System RAM, 9 GB,0.02,-0.01,2019
System RAM, 10 GB,0.22,-0.06,2019
System RAM, 11 GB,0.18,-0.01,2019
System RAM, 12 GB,2.95,-0.43,2019
System RAM, 13 GB,0.01,0.0,2019
System RAM, 14 GB,0.17,0.06,2019
System RAM, 15 GB,1.36,1.02,2019
System RAM, 16 GB,46.37,15.1,2019
System RAM, More than 16 GB,5.08,1.31,2019
Physical CPUs, 1 cpu,0.5,-0.43,2019
Physical CPUs, 2 cpus,17.92,-11.49,2019
Physical CPUs, 3 cpus,1.07,-0.61,2019
Physical CPUs, 4 cpus,54.58,-1.43,2019
Physical CPUs, 5 cpus,0.0,-0.01,2019
Physical CPUs, 6 cpus,21.26,11.24,2019
Physical CPUs, 7 cpus,0.0,0.0,2019
Physical CPUs, 8 cpus,4.4,2.61,2019
Physical CPUs, 10 cpus,0.06,0.0,2019
Physical CPUs, 11 cpus,0.0,0.0,2019
Physical CPUs, 12 cpus,0.14,0.1,2019
Physical CPUs, 14 cpus,0.01,0.0,2019
Physical CPUs, 15 cpus,0.0,0.0,2019
Physical CPUs, 16 cpus,0.05,0.01,2019
Physical CPUs, 18 cpus,0.01,0.0,2019
Physical CPUs, 20 cpus,0.0,0.0,2019
Physical CPUs, 22 cpus,0.0,0.0,2019
Physical CPUs, 24 cpus,0.0,0.0,2019
Physical CPUs, 28 cpus,0.0,0.0,2019
Physical CPUs, 32 cpus,0.0,0.0,2019
Physical CPUs, 36 cpus,0.0,0.0,2019
Video Card Description, NVIDIA GeForce GTX 1060,20.3,5.99,2019
Video Card Description, NVIDIA GeForce GTX 1050 Ti,9.23,0.24,2019
Video Card Description, NVIDIA GeForce GTX 1050,4.5,-0.49,2019
Video Card Description, NVIDIA GeForce GTX 1070,3.82,-0.37,2019
Video Card Description, NVIDIA GeForce GTX 960,3.7,0.33,2019
Video Card Description, NVIDIA GeForce RTX 2060,2.98,2.72,2019
Video Card Description, NVIDIA GeForce GTX 1080,2.6,-0.14,2019
Video Card Description, NVIDIA GeForce GTX 750 Ti,2.31,-0.54,2019
Video Card Description, NVIDIA GeForce GTX 1660,2.05,1.82,2019
Video Card Description, NVIDIA GeForce RTX 2070,1.9,1.58,2019
Video Card Description, NVIDIA GeForce GTX 970,1.89,-1.04,2019
Video Card Description, NVIDIA GeForce GTX 1660 Ti,1.49,1.33,2019
Video Card Description, NVIDIA GeForce GTX 1070 Ti,1.33,0.16,2019
Video Card Description, NVIDIA GeForce GTX 950,1.32,0.26,2019
Video Card Description, NVIDIA GeForce GTX 1080 Ti,1.3,-0.29,2019
Video Card Description, AMD Radeon RX 580,1.29,0.5,2019
Video Card Description, NVIDIA GeForce GTX 1650,1.05,0.82,2019
Video Card Description, NVIDIA GeForce RTX 2080,1.0,0.7,2019
Video Card Description, NVIDIA GeForce GTX 960M,0.95,-0.68,2019
