Categoria, Especificação, Porcentagens, Incrementos/Decrementos, Mês, Ano
OS Version, Windows, 96.51%, +0.42%, Dezembro, 2020
OS Version, Windows 10 64 bit, 91.44%, +12.21%, Dezembro, 2020
OS Version, Windows 7 64 bit, 3.57%, -9.99%, Dezembro, 2020
OS Version, Windows 8.1 64 bit, 1.11%, -1.11%, Dezembro, 2020
OS Version, Windows 7, 0.17%, -0.51%, Dezembro, 2020
OS Version, Windows 10, 0.10%, -0.06%, Dezembro, 2020
OS Version, Windows 8 64 bit, 0.08%, -0.07%, Dezembro, 2020
OS Version, OSX, 2.74%, -0.27%, Dezembro, 2020
OS Version, MacOS 10.15.7 64 bit, 0.74%, -0.13%, Dezembro, 2020
OS Version, MacOS 10.16.0 64 bit, 0.71%, -0.11%, Dezembro, 2020
OS Version, MacOS 10.14.6 64 bit, 0.36%, -0.06%, Dezembro, 2020
OS Version, MacOS 10.13.6 64 bit, 0.31%, +0.11%, Dezembro, 2020
OS Version, MacOS 10.15.6 64 bit, 0.17%, +0.01%, Dezembro, 2020
OS Version, MacOS 10.12.6 64 bit, 0.10%, -0.02%, Dezembro, 2020
OS Version, MacOS 10.15.5 64 bit, 0.07%, -0.03%, Dezembro, 2020
OS Version, MacOS 10.11.6 64 bit, 0.07%, +0.01%, Dezembro, 2020
OS Version, Linux, 0.74%, -0.16%, Dezembro, 2020
OS Version, Ubuntu 20.04.1 LTS 64 bit, 0.18%, -0.02%, Dezembro, 2020
OS Version, "Arch Linux" 64 bit, 0.08%, -0.02%, Dezembro, 2020
OS Version, "Manjaro Linux" 64 bit, 0.08%, -0.01%, Dezembro, 2020
System RAM, Less than 2 GB, 0.05%, -96.04%, Dezembro, 2020
System RAM, 2 GB, 0.29%, -78.94%, Dezembro, 2020
System RAM, 3 GB, 1.23%, -12.33%, Dezembro, 2020
System RAM, 4 GB, 4.39%, +2.17%, Dezembro, 2020
System RAM, 5 GB, 0.22%, -0.46%, Dezembro, 2020
System RAM, 6 GB, 2.07%, +1.91%, Dezembro, 2020
System RAM, 7 GB, 2.10%, +1.95%, Dezembro, 2020
System RAM, 8 GB, 25.32%, +22.31%, Dezembro, 2020
System RAM, 9 GB, 0.02%, -0.85%, Dezembro, 2020
System RAM, 10 GB, 0.28%, -0.54%, Dezembro, 2020
System RAM, 11 GB, 0.17%, -0.25%, Dezembro, 2020
System RAM, 12 GB, 2.36%, +2.16%, Dezembro, 2020
System RAM, 13 GB, 0.02%, -0.14%, Dezembro, 2020
System RAM, 14 GB, 0.47%, +0.35%, Dezembro, 2020
System RAM, 15 GB, 1.16%, +1.06%, Dezembro, 2020
System RAM, 16 GB, 49.95%, +49.89%, Dezembro, 2020
System RAM, More than 16 GB, 9.89%, +8.99%, Dezembro, 2020
