Categoria, Especificação, Porcentagens, Incrementos/Decrementos, Mês, Ano
OS Version, Windows, 95.65%, -0.76%, Janeiro, 2021
OS Version, Windows 10 64 bit, 91.70%, +0.35%, Janeiro, 2021
OS Version, Windows 7 64 bit, 2.28%, -1.23%, Janeiro, 2021
OS Version, Windows 8.1 64 bit, 1.25%, +0.09%, Janeiro, 2021
OS Version, Windows 7, 0.17%, 0.00%, Janeiro, 2021
OS Version, Windows 10, 0.12%, +0.02%, Janeiro, 2021
OS Version, Windows 8 64 bit, 0.09%, 0.00%, Janeiro, 2021
OS Version, OSX, 3.44%, +0.62%, Janeiro, 2021
OS Version, MacOS 10.16.0 64 bit, 1.19%, +0.46%, Janeiro, 2021
OS Version, MacOS 10.15.7 64 bit, 0.81%, +0.05%, Janeiro, 2021
OS Version, MacOS 10.14.6 64 bit, 0.43%, +0.05%, Janeiro, 2021
OS Version, MacOS 10.13.6 64 bit, 0.35%, +0.03%, Janeiro, 2021
OS Version, MacOS 10.15.6 64 bit, 0.17%, -0.01%, Janeiro, 2021
OS Version, MacOS 10.12.6 64 bit, 0.11%, +0.01%, Janeiro, 2021
OS Version, MacOS 10.11.6 64 bit, 0.08%, +0.01%, Janeiro, 2021
OS Version, MacOS 10.15.5 64 bit, 0.07%, -0.01%, Janeiro, 2021
OS Version, MacOS 10.15.4 64 bit, 0.05%, +0.05%, Janeiro, 2021
OS Version, Linux, 0.91%, +0.13%, Janeiro, 2021
OS Version, Ubuntu 20.04.1 LTS 64 bit, 0.21%, +0.03%, Janeiro, 2021
OS Version, "Arch Linux" 64 bit, 0.10%, +0.01%, Janeiro, 2021
OS Version, "Manjaro Linux" 64 bit, 0.10%, +0.02%, Janeiro, 2021
OS Version, Linux Mint 20 64 bit, 0.05%, +0.05%, Janeiro, 2021
System RAM, Less than 2 GB, 0.06%, +0.01%, Janeiro, 2021
System RAM, 2 GB, 0.32%, +0.03%, Janeiro, 2021
System RAM, 3 GB, 1.27%, +0.01%, Janeiro, 2021
System RAM, 4 GB, 4.89%, +0.41%, Janeiro, 2021
System RAM, 5 GB, 0.24%, +0.01%, Janeiro, 2021
System RAM, 6 GB, 2.40%, +0.25%, Janeiro, 2021
System RAM, 7 GB, 2.34%, +0.19%, Janeiro, 2021
System RAM, 8 GB, 28.61%, +2.78%, Janeiro, 2021
System RAM, 9 GB, 0.02%, 0.00%, Janeiro, 2021
System RAM, 10 GB, 0.34%, +0.05%, Janeiro, 2021
System RAM, 11 GB, 0.19%, +0.01%, Janeiro, 2021
System RAM, 12 GB, 2.66%, +0.23%, Janeiro, 2021
System RAM, 13 GB, 0.03%, +0.01%, Janeiro, 2021
System RAM, 14 GB, 0.62%, +0.13%, Janeiro, 2021
System RAM, 15 GB, 1.37%, +0.23%, Janeiro, 2021
System RAM, 16 GB, 43.84%, -5.05%, Janeiro, 2021
System RAM, More than 16 GB, 10.80%, +0.71%, Janeiro, 2021
Physical CPUs, 1 cpu, 0.25%, -0.02%, Janeiro, 2021
Physical CPUs, 2 cpus, 15.66%, +1.41%, Janeiro, 2021
Physical CPUs, 3 cpus, 0.82%, +0.02%, Janeiro, 2021
Physical CPUs, 4 cpus, 42.94%, +2.75%, Janeiro, 2021
Physical CPUs, 5 cpus, 0.01%, 0.00%, Janeiro, 2021
Physical CPUs, 6 cpus, 27.87%, -3.89%, Janeiro, 2021
Physical CPUs, 7 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 8 cpus, 11.04%, -0.47%, Janeiro, 2021
Physical CPUs, 9 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 10 cpus, 0.39%, +0.05%, Janeiro, 2021
Physical CPUs, 12 cpus, 0.79%, +0.12%, Janeiro, 2021
Physical CPUs, 14 cpus, 0.01%, 0.00%, Janeiro, 2021
Physical CPUs, 15 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 16 cpus, 0.18%, +0.03%, Janeiro, 2021
Physical CPUs, 18 cpus, 0.02%, +0.01%, Janeiro, 2021
Physical CPUs, 20 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 22 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 24 cpus, 0.01%, 0.00%, Janeiro, 2021
Physical CPUs, 26 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 28 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 32 cpus, 0.01%, 0.00%, Janeiro, 2021
Physical CPUs, 36 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 40 cpus, 0.00%, 0.00%, Janeiro, 2021
Physical CPUs, 64 cpus, 0.00%, 0.00%, Janeiro, 2021
Video Card Description, NVIDIA GeForce GTX 1060, 9.38%, -1.61%, Janeiro, 2021
Video Card Description, NVIDIA GeForce GTX 1050 Ti, 6.79%, +0.54%, Janeiro, 2021
Video Card Description, NVIDIA GeForce GTX 1650, 4.75%, +0.73%, Janeiro, 2021
Video Card Description, NVIDIA GeForce GTX 1050, 4.29%, +0.39%, Janeiro, 2021
Video Card Description, NVIDIA GeForce RTX 2060, 3.58%, -1.11%, Janeiro, 2021
Video Card Description, NVIDIA GeForce GTX 1070, 3.38%, 0.00%, Janeiro, 2021
