Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Mês,Ano
OS Version,Windows,96.55%,+0.45%,Janeiro,2025
OS Version,Windows 11 64 bit,53.46%,+0.34%,Janeiro,2025
OS Version,Windows 10 64 bit,42.87%,+0.13%,Janeiro,2025
OS Version,Windows 7 64 bit,0.15%,-0.01%,Janeiro,2025
OS Version,OSX,1.40%,-0.21%,Janeiro,2025
OS Version,MacOS 15.2.0 64 bit,0.40%,+0.22%,Janeiro,2025
OS Version,MacOS 15.1.1 64 bit,0.24%,-0.28%,Janeiro,2025
OS Version,MacOS 14.6.1 64 bit,0.10%,-0.05%,Janeiro,2025
OS Version,MacOS 14.5.0 64 bit,0.07%,-0.02%,Janeiro,2025
OS Version,MacOS 15.1.0 64 bit,0.06%,-0.03%,Janeiro,2025
OS Version,Linux,2.06%,-0.23%,Janeiro,2025
OS Version,"Arch Linux" 64 bit,0.19%,-0.02%,Janeiro,2025
OS Version,Ubuntu 24.04.1 LTS 64 bit,0.10%,-0.01%,Janeiro,2025
OS Version,Linux Mint 22 64 bit,0.09%,-0.02%,Janeiro,2025
OS Version,Ubuntu Core 22 64 bit,0.08%,-0.01%,Janeiro,2025
OS Version,"Manjaro Linux" 64 bit,0.06%,0.00%,Janeiro,2025
OS Version,Debian GNU/Linux 12 (bookworm) 64 bit,0.05%,0.00%,Janeiro,2025
System RAM,Less than 4 GB,0.03%,-0.01%,Janeiro,2025
System RAM,4 GB,2.00%,-0.15%,Janeiro,2025
System RAM,8 GB,9.55%,-0.74%,Janeiro,2025
System RAM,12 GB,2.87%,-0.17%,Janeiro,2025
System RAM,16 GB,44.72%,+0.15%,Janeiro,2025
System RAM,24 GB,1.51%,0.00%,Janeiro,2025
System RAM,32 GB,33.21%,+0.98%,Janeiro,2025
System RAM,48 GB,0.67%,0.00%,Janeiro,2025
System RAM,64 GB,3.75%,-0.06%,Janeiro,2025
System RAM,More than 64 GB,0.42%,-0.01%,Janeiro,2025
System RAM,Other,1.26%,-0.01%,Janeiro,2025
Physical CPUs,1 cpu,0.03%,-0.01%,Janeiro,2025
Physical CPUs,2 cpus,4.02%,-0.28%,Janeiro,2025
Physical CPUs,3 cpus,0.24%,0.00%,Janeiro,2025
Physical CPUs,4 cpus,16.53%,-0.95%,Janeiro,2025
Physical CPUs,5 cpus,0.07%,+0.01%,Janeiro,2025
Physical CPUs,6 cpus,31.30%,+0.37%,Janeiro,2025
Physical CPUs,7 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,8 cpus,22.42%,-0.33%,Janeiro,2025
Physical CPUs,9 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,10 cpus,6.74%,+0.33%,Janeiro,2025
Physical CPUs,11 cpus,0.04%,0.00%,Janeiro,2025
Physical CPUs,12 cpus,5.85%,+0.18%,Janeiro,2025
Physical CPUs,13 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,14 cpus,4.65%,+0.27%,Janeiro,2025
Physical CPUs,15 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,16 cpus,4.52%,+0.13%,Janeiro,2025
Physical CPUs,17 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,18 cpus,0.05%,+0.01%,Janeiro,2025
Physical CPUs,19 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,20 cpus,1.31%,+0.14%,Janeiro,2025
Physical CPUs,21 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,22 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,23 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,24 cpus,2.21%,+0.14%,Janeiro,2025
Physical CPUs,26 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,28 cpus,0.01%,0.00%,Janeiro,2025
Physical CPUs,30 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,32 cpus,0.01%,0.00%,Janeiro,2025
Physical CPUs,36 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,40 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,44 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,48 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,52 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,56 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,64 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,72 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,96 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,120 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,128 cpus,0.00%,0.00%,Janeiro,2025
Physical CPUs,192 cpus,0.00%,0.00%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 3060,5.06%,+0.21%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4060 Laptop GPU,4.46%,+0.42%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4060,4.46%,+0.56%,Janeiro,2025
Video Card Description,NVIDIA GeForce GTX 1650,3.46%,-0.16%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4060 Ti,3.33%,+0.19%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 3060 Ti,3.05%,+0.09%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 3070,2.85%,-0.03%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 3050,2.83%,+0.06%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4070,2.81%,+0.16%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 3060 Laptop GPU,2.72%,+0.02%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 2060,2.69%,+0.03%,Janeiro,2025
Video Card Description,NVIDIA GeForce GTX 1060,2.47%,-0.06%,Janeiro,2025
Video Card Description,AMD Radeon Graphics,2.00%,-0.17%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4070 SUPER,1.93%,+0.15%,Janeiro,2025
Video Card Description,Intel Iris Xe Graphics,1.90%,-0.10%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 3080,1.87%,-0.07%,Janeiro,2025
Video Card Description,NVIDIA GeForce GTX 1660 SUPER,1.84%,+0.01%,Janeiro,2025
Video Card Description,NVIDIA GeForce GTX 1050 Ti,1.84%,-0.03%,Janeiro,2025
Video Card Description,AMD Radeon(TM) Graphics,1.61%,+0.07%,Janeiro,2025
Video Card Description,Intel(R) UHD Graphics,1.59%,-0.10%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 3070 Ti,1.28%,+0.01%,Janeiro,2025
Video Card Description,NVIDIA GeForce GTX 1660 Ti,1.26%,-0.06%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4050 Laptop GPU,1.18%,+0.08%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4070 Ti,1.15%,+0.04%,Janeiro,2025
Video Card Description,,1.12%,-0.17%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 2060 SUPER,1.05%,+0.03%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4070 Laptop GPU,1.05%,+0.07%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 2070 SUPER,1.01%,-0.04%,Janeiro,2025
Video Card Description,NVIDIA GeForce RTX 4090,0.96%,0.00%,Janeiro,2025
